BeeNumber,Species,Caste,BuzzNumber,FlightBuzzFrequency,TongueLength,WingLength,IntertegularDistance
31,Bombus balteatus,queen,1,123.8,12.11,14.23,5.64
33,Bombus balteatus,queen,1,145.3,12.11,15.23,5.56
36,Bombus balteatus,queen,1,150.7,12.11,14.7,5.99
1114,Bombus balteatus,queen,1,150.7,12.11,16.17,5.48
27,Bombus balteatus,worker,1,172.3,9.36,11.66,4.48
32,Bombus balteatus,worker,1,156.1,9.36,12.11,4.7
37,Bombus balteatus,worker,1,150.7,9.36,11.43,4.17
38,Bombus balteatus,worker,1,166.9,9.36,10.58,4.05
1111,Bombus balteatus,worker,1,172.3,9.36,12.38,4.15
1113,Bombus balteatus,worker,1,166.9,9.36,12.18,4.85
25,Bombus sylvicola,queen,1,172.3,8.5,12.65,4.97
1007,Bombus sylvicola,queen,1,161.5,8.5,13.57,5.75
1128,Bombus sylvicola,queen,1,177.6,8.5,13.51,5.27
26,Bombus sylvicola,worker,1,209.9,5.79,9.07,2.93
30,Bombus sylvicola,worker,1,183,5.79,10.95,4.14
34,Bombus sylvicola,worker,1,215.3,5.79,9.07,3.54
35,Bombus sylvicola,worker,1,161.5,5.79,9,3.69
39,Bombus sylvicola,worker,1,177.6,5.79,8.91,3.91
31,Bombus balteatus,queen,2,129.2,12.11,14.23,5.64
33,Bombus balteatus,queen,2,150.7,12.11,15.23,5.56
36,Bombus balteatus,queen,2,145.3,12.11,14.7,5.99
1114,Bombus balteatus,queen,2,150.7,12.11,16.17,5.48
27,Bombus balteatus,worker,2,172.3,9.36,11.66,4.48
32,Bombus balteatus,worker,2,150.7,9.36,12.11,4.7
37,Bombus balteatus,worker,2,156.1,9.36,11.43,4.17
38,Bombus balteatus,worker,2,156.1,9.36,10.58,4.05
1111,Bombus balteatus,worker,2,172.3,9.36,12.38,4.15
1113,Bombus balteatus,worker,2,166.9,9.36,12.18,4.85
25,Bombus sylvicola,queen,2,161.5,8.5,12.65,4.97
1007,Bombus sylvicola,queen,2,161.5,8.5,13.57,5.75
1128,Bombus sylvicola,queen,2,172.3,8.5,13.51,5.27
26,Bombus sylvicola,worker,2,215.3,5.79,9.07,2.93
30,Bombus sylvicola,worker,2,156.1,5.79,10.95,4.14
34,Bombus sylvicola,worker,2,269.2,5.79,9.07,3.54
35,Bombus sylvicola,worker,2,209.9,5.79,9,3.69
39,Bombus sylvicola,worker,2,177.6,5.79,8.91,3.91
31,Bombus balteatus,queen,3,134.6,12.11,14.23,5.64
33,Bombus balteatus,queen,3,150.7,12.11,15.23,5.56
36,Bombus balteatus,queen,3,145.3,12.11,14.7,5.99
1114,Bombus balteatus,queen,3,150.7,12.11,16.17,5.48
27,Bombus balteatus,worker,3,172.3,9.36,11.66,4.48
32,Bombus balteatus,worker,3,161.5,9.36,12.11,4.7
37,Bombus balteatus,worker,3,156.1,9.36,11.43,4.17
38,Bombus balteatus,worker,3,161.5,9.36,10.58,4.05
1111,Bombus balteatus,worker,3,161.5,9.36,12.38,4.15
1113,Bombus balteatus,worker,3,156.1,9.36,12.18,4.85
25,Bombus sylvicola,queen,3,166.9,8.5,12.65,4.97
1007,Bombus sylvicola,queen,3,161.5,8.5,13.57,5.75
1128,Bombus sylvicola,queen,3,156.1,8.5,13.51,5.27
26,Bombus sylvicola,worker,3,145.3,5.79,9.07,2.93
30,Bombus sylvicola,worker,3,193.8,5.79,10.95,4.14
34,Bombus sylvicola,worker,3,209.9,5.79,9.07,3.54
35,Bombus sylvicola,worker,3,209.9,5.79,9,3.69
39,Bombus sylvicola,worker,3,177.6,5.79,8.91,3.91